en.0	General Quality: 82	Cohesion: 78	Coherence: 80	Style Consistency: 75	Terminology Consistency: 85	Average: 80.00
en.1	General Quality: 70	Cohesion: 65	Coherence: 68	Style Consistency: 60	Terminology Consistency: 55	Average: 63.60
en.2	General Quality: 85	Cohesion: 88	Coherence: 90	Style Consistency: 83	Terminology Consistency: 87	Average: 86.60
en.3	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.4	General Quality: 82	Cohesion: 85	Coherence: 87	Style Consistency: 78	Terminology Consistency: 80	Average: 82.40
en.5	General Quality: 93	Cohesion: 95	Coherence: 96	Style Consistency: 92	Terminology Consistency: 97	Average: 94.60
en.6	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 90	Average: 90.60
en.7	General Quality: 70	Cohesion: 65	Coherence: 68	Style Consistency: 60	Terminology Consistency: 75	Average: 67.60
en.8	General Quality: 80	Cohesion: 85	Coherence: 83	Style Consistency: 78	Terminology Consistency: 75	Average: 80.20
en.9	General Quality: 82	Cohesion: 88	Coherence: 85	Style Consistency: 80	Terminology Consistency: 90	Average: 85.00
en.10	General Quality: 65	Cohesion: 60	Coherence: 68	Style Consistency: 55	Terminology Consistency: 70	Average: 63.60
en.11	General Quality: 70	Cohesion: 75	Coherence: 65	Style Consistency: 70	Terminology Consistency: 60	Average: 68.00
en.12	General Quality: 60	Cohesion: 55	Coherence: 50	Style Consistency: 45	Terminology Consistency: 65	Average: 55.00
en.13	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.14	General Quality: 87	Cohesion: 90	Coherence: 88	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.15	General Quality: 87	Cohesion: 90	Coherence: 88	Style Consistency: 85	Terminology Consistency: 82	Average: 86.40
en.16	General Quality: 65	Cohesion: 60	Coherence: 65	Style Consistency: 55	Terminology Consistency: 60	Average: 61.00
en.17	General Quality: 91	Cohesion: 93	Coherence: 94	Style Consistency: 90	Terminology Consistency: 95	Average: 92.60
en.18	General Quality: 87	Cohesion: 90	Coherence: 88	Style Consistency: 92	Terminology Consistency: 85	Average: 88.40
en.19	General Quality: 87	Cohesion: 90	Coherence: 88	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.20	General Quality: 87	Cohesion: 90	Coherence: 92	Style Consistency: 88	Terminology Consistency: 93	Average: 90.00
en.21	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 90	Terminology Consistency: 92	Average: 91.40
en.22	General Quality: 65	Cohesion: 60	Coherence: 70	Style Consistency: 55	Terminology Consistency: 60	Average: 62.00
en.23	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.24	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
Average Scores	General Quality:	81.24	Cohesion:	82.00	Coherence:	82.36	Style Consistency:	77.40	Terminology Consistency:	82.16
Meta	81.03
