en.0	General Quality: 80	Cohesion: 85	Coherence: 82	Style Consistency: 75	Terminology Consistency: 90	Average: 82.40
en.1	General Quality: 75	Cohesion: 70	Coherence: 78	Style Consistency: 72	Terminology Consistency: 65	Average: 72.00
en.2	General Quality: 92	Cohesion: 95	Coherence: 94	Style Consistency: 90	Terminology Consistency: 96	Average: 93.40
en.3	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.4	General Quality: 90	Cohesion: 92	Coherence: 88	Style Consistency: 90	Terminology Consistency: 85	Average: 89.00
en.5	General Quality: 92	Cohesion: 95	Coherence: 96	Style Consistency: 94	Terminology Consistency: 90	Average: 93.40
en.6	General Quality: 92	Cohesion: 95	Coherence: 94	Style Consistency: 90	Terminology Consistency: 97	Average: 93.60
en.7	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 82	Average: 86.40
en.8	General Quality: 85	Cohesion: 88	Coherence: 86	Style Consistency: 82	Terminology Consistency: 80	Average: 84.20
en.9	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.10	General Quality: 78	Cohesion: 82	Coherence: 80	Style Consistency: 75	Terminology Consistency: 85	Average: 80.00
en.11	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 80	Average: 86.00
en.12	General Quality: 78	Cohesion: 75	Coherence: 73	Style Consistency: 80	Terminology Consistency: 85	Average: 78.20
en.13	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
en.14	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 87	Terminology Consistency: 93	Average: 90.00
en.15	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 85	Terminology Consistency: 93	Average: 89.60
en.16	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 92	Terminology Consistency: 85	Average: 88.40
en.17	General Quality: 92	Cohesion: 95	Coherence: 93	Style Consistency: 90	Terminology Consistency: 96	Average: 93.20
en.18	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 83	Average: 86.60
en.19	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 87	Terminology Consistency: 85	Average: 88.40
en.20	General Quality: 88	Cohesion: 92	Coherence: 90	Style Consistency: 87	Terminology Consistency: 95	Average: 90.40
en.21	General Quality: 88	Cohesion: 92	Coherence: 90	Style Consistency: 87	Terminology Consistency: 85	Average: 88.40
en.22	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
en.23	General Quality: 92	Cohesion: 95	Coherence: 94	Style Consistency: 91	Terminology Consistency: 98	Average: 94.00
en.24	General Quality: 90	Cohesion: 92	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
Average Scores	General Quality:	87.44	Cohesion:	89.40	Coherence:	88.60	Style Consistency:	85.72	Terminology Consistency:	88.68
Meta	87.97
